PARK AGENCY,PARK NAME,CLEANLINESS,SAFETY,ACTIVITY,COURTESY,VISIT AGAIN,SURVEY_DATE
REGIONAL,Kenneth Hahn State Recreation Area,B,A,,A,A,01/01/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,C,B,,A,A,01/01/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,,B,A,01/03/2015
EAST,Avenue Park,A,C,A,A,A,01/03/2015
EAST,Dalton Park,A,A,,A,A,01/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/04/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,C,A,A,01/05/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,01/06/2015
SOUTH,Hacienda Heights Community Center,A,B,,A,A,01/06/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/06/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/06/2015
SOUTH,Franklin D. Roosevelt Park,A,F,F,B,F,01/06/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,A,A,A,01/07/2015
SOUTH,Franklin D. Roosevelt Park,A,A,,F,A,01/07/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,A,A,A,01/08/2015
SOUTH,Ladera Park,A,A,A,A,A,01/08/2015
EAST,Charles White Park,A,B,,,A,01/09/2015
NORTH,Veterans Memorial Community Regional Park,A,A,,A,A,01/09/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,01/09/2015
SOUTH,"Earvin ""Magic"" Johnson Recreation Area",C,C,F,A,A,01/09/2015
REGIONAL,Santa Fe Dam Recreational Area,A,B,,C,B,01/10/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,01/10/2015
REGIONAL,Frank G. Bonelli Regional Park,A,A,,A,A,01/10/2015
EAST,Belvedere Community Regional Park,A,C,,A,A,01/11/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,01/11/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,B,,A,A,01/11/2015
SOUTH,Ted Watkins Memorial Park,A,B,,A,B,01/11/2015
REGIONAL,Peter F. Schabarum Regional Park,B,B,,,A,01/12/2015
EAST,Allen J. Martin Park,B,A,B,B,A,01/13/2015
SOUTH,Col. Leon H. Washington Park,B,A,,,B,01/13/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,01/13/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/14/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,A,A,01/16/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,,A,A,01/16/2015
REGIONAL,Arboretum and Botanic Garden,A,A,,A,A,01/16/2015
REGIONAL,Deana Dana Friendship Natural Area and Nature Center,A,A,,A,A,01/16/2015
NORTH,San Fernando Pool,A,A,A,A,A,01/17/2015
NORTH,Veterans Memorial Community Regional Park,A,A,A,A,A,01/17/2015
GOLF,Los Amigos Golf Course,A,A,A,A,A,01/17/2015
NORTH,Jackie Robinson Park,C,A,F,F,F,01/19/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/20/2015
SOUTH,Adventure Park,A,A,A,A,A,01/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/20/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,01/21/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,01/21/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/22/2015
EAST,Saybrook Park,F,F,F,F,F,01/23/2015
SOUTH,Trailview Park,F,F,,,F,01/24/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,C,01/25/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,Adventure Park,A,A,A,A,A,01/26/2015
SOUTH,La Mirada Community Regional Park,A,A,,A,A,01/26/2015
SOUTH,La Mirada Community Regional Park,A,A,A,A,A,01/26/2015
SOUTH,La Mirada Community Regional Park,B,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,B,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,B,C,B,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
EAST,Belvedere Community Regional Park,A,A,A,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,B,A,A,B,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,01/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,01/26/2015
NORTH,Dr. Richard H. Rioux Memorial Park,B,A,,A,A,01/26/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,01/27/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,01/27/2015
